fips,units_all,units_hcv
19117,163,12.0
19119,79,9.0
19121,81,35.0
19123,351,247.0
19125,385,273.0
19127,549,388.0
19129,251,187.0
19131,48,38.0
19133,163,77.0
19135,187,99.0
19137,265,103.0
19139,828,383.0
19141,137,88.0
19143,53,37.0
19145,339,92.0
19147,132,102.0
19149,251,90.0
19151,28,28.0
19153,6065,3698.0
19155,1861,958.0
19157,261,170.0
19159,99,47.0
19161,90,74.0
19163,2412,1346.0
19165,200,136.0
19167,258,107.0
19169,661,331.0
19171,19,19.0
19173,88,52.0
19175,256,120.0
19177,15,8.0
19179,730,273.0
19181,397,175.0
19183,142,92.0
19185,33,22.0
19187,1084,699.0
19189,111,46.0
19191,146,101.0
19193,2287,1298.0
19195,43,21.0
19197,92,92.0
20001,230,33.0
20003,76,5.0
20005,370,46.0
20007,73,8.0
20009,342,217.0
20011,308,52.0
20013,186,54.0
20015,455,39.0
20017,22,2.0
20019,22,6.0
20021,138,62.0
20023,45,5.0
20025,21,1.0
20027,102,102.0
20029,58,6.0
20031,67,44.0
20033,20,
20035,555,181.0
20037,940,572.0
20039,47,
20041,232,9.0
20043,31,14.0
20045,1462,826.0
20047,30,
20049,50,2.0
20051,409,121.0
20053,41,5.0
20055,447,174.0
20057,543,141.0
20059,373,138.0
20061,418,140.0
20063,9,9.0
20065,34,9.0
20067,51,11.0
20073,49,9.0
20075,7,7.0
20077,78,2.0
20079,673,78.0
20081,4,4.0
20083,21,1.0
20085,122,42.0
20087,68,41.0
20089,48,
20091,3362,1965.0
20093,21,4.0
20095,16,15.0
20097,31,7.0
20099,335,48.0
20103,965,512.0
20105,63,11.0
20107,45,5.0
20109,50,8.0
20111,426,162.0
20113,359,129.0
20115,105,5.0
20117,95,21.0
20121,424,140.0
20123,56,8.0
20125,597,145.0
20127,34,
20129,3,3.0
20131,95,4.0
20133,238,41.0
20135,30,
20137,66,28.0
20139,99,17.0
20141,79,9.0
20143,77,2.0
20145,51,11.0
20147,83,16.0
20149,61,29.0
20151,104,44.0
20153,24,
20155,910,332.0
20157,50,2.0
20159,157,7.0
20161,850,489.0
20163,47,17.0
20165,15,15.0
20167,126,36.0
20169,862,579.0
20171,18,18.0
20173,5436,3408.0
20175,214,59.0
20177,3306,1459.0
20179,33,3.0
20181,89,5.0
20183,88,8.0
20185,33,3.0
20187,15,3.0
20189,4,4.0
20191,302,26.0
20193,121,9.0
20195,33,3.0
20197,6,2.0
20199,13,
20201,121,
20205,58,3.0
20207,2,2.0
20209,5114,1789.0
21001,206,67.0
21003,250,17.0
21005,100,99.0
21007,48,
21009,859,355.0
21011,174,7.0
21013,1500,405.0
21015,1422,1048.0
21017,724,468.0
21019,1791,644.0
21021,755,307.0
21023,92,4.0
21025,102,69.0
21027,154,22.0
21029,634,490.0
21031,270,26.0
21033,155,10.0
21035,317,65.0
21037,1916,1324.0
21039,40,1.0
21041,263,3.0
21043,511,330.0
21045,173,50.0
21047,1610,1276.0
21049,1269,544.0
21051,214,24.0
21053,167,40.0
21055,33,1.0
21057,157,3.0
21059,2094,1190.0
21061,86,30.0
21063,136,72.0
21065,236,70.0
21067,6537,3452.0
21069,115,16.0
21071,1195,480.0
21073,1119,567.0
21075,379,19.0
21077,9,9.0
21079,196,29.0
21081,259,73.0
21083,821,308.0
21085,221,56.0
21087,270,121.0
21089,581,453.0
21091,92,16.0
21093,1143,626.0
21095,887,370.0
21097,494,202.0
21099,226,14.0
21101,1546,805.0
21103,237,24.0
21105,47,3.0
21107,834,262.0
21109,214,4.0
21111,21531,12194.0
21113,795,672.0
21115,471,94.0
21117,1517,160.0
21119,165,71.0
21121,1198,662.0
21123,220,14.0
21125,607,338.0
21127,249,139.0
21129,180,22.0
21131,24,4.0
21133,249,45.0
21135,161,69.0
21137,193,30.0
21139,12,
21141,364,39.0
21143,140,3.0
21145,2305,704.0
21147,207,68.0
21149,138,3.0
21151,1522,840.0
21153,98,39.0
21155,400,88.0
21157,400,9.0
21159,232,1.0
21161,447,125.0
21163,88,32.0
21165,35,3.0
21167,274,52.0
21169,97,7.0
21171,152,9.0
21173,398,121.0
21175,68,20.0
21177,315,23.0
21179,624,173.0
21181,81,14.0
21183,156,14.0
21185,173,113.0
21187,48,4.0
21189,125,34.0
21191,167,87.0
21193,427,55.0
21195,1559,988.0
21197,126,27.0
21199,1079,546.0
21203,191,7.0
21205,411,70.0
21207,233,82.0
21209,882,435.0
21211,474,164.0
21213,165,52.0
21215,123,50.0
21217,809,321.0
21219,174,26.0
21221,159,45.0
21223,41,1.0
21225,191,14.0
21227,2160,1016.0
21229,164,69.0
21231,323,121.0
21233,112,4.0
21235,1061,556.0
21237,108,20.0
21239,403,234.0
22001,1618,584.0
22003,511,294.0
22005,536,211.0
22007,113,112.0
22009,661,143.0
22011,284,43.0
22013,251,81.0
22015,1667,822.0
22017,7024,4399.0
22019,4426,3125.0
22021,292,152.0
22023,2,2.0
22025,207,34.0
22027,305,85.0
22029,317,99.0
22031,511,216.0
22033,7559,4755.0
22035,382,147.0
22039,1024,298.0
22041,277,43.0
22043,233,111.0
22045,1350,584.0
22047,223,89.0
22049,276,22.0
22051,8437,6382.0
22053,512,131.0
22055,3914,2070.0
22057,1178,596.0
22059,97,2.0
22061,1094,587.0
22063,293,221.0
22065,294,130.0
22067,399,188.0
22069,1534,789.0
22071,23603,19105.0
22073,5224,2550.0
22075,169,169.0
22077,128,53.0
22079,3010,2330.0
22081,148,48.0
22083,290,50.0
22085,496,112.0
22087,746,582.0
22089,500,371.0
22091,32,32.0
22093,327,12.0
22095,537,422.0
22097,2183,723.0
22099,768,397.0
22101,803,143.0
22103,1469,832.0
22105,1288,965.0
22107,148,148.0
22109,734,645.0
22111,304,155.0
22113,673,117.0
22115,485,324.0
22117,526,485.0
22119,894,316.0
22121,220,220.0
22123,126,73.0
22125,40,
22127,269,213.0
23001,4121,2244.0
23003,1709,839.0
23005,8134,5458.0
23007,306,142.0
23009,878,485.0
23011,2277,1299.0
23013,520,235.0
23015,253,122.0
23017,944,563.0
23019,3042,1250.0
23021,146,38.0
23023,770,498.0
23025,614,411.0
23027,272,175.0
23029,270,35.0
23031,3089,1767.0
24001,1583,533.0
24003,6228,4066.0
24005,12859,9436.0
24009,560,480.0
24011,297,68.0
24013,1482,1095.0
24015,1158,889.0
24017,1600,933.0
24019,938,377.0
24021,2665,1582.0
24023,239,170.0
24025,3291,1541.0
24027,3242,2109.0
24029,184,34.0
24031,12732,8535.0
24033,9442,5928.0
24035,240,177.0
24037,1948,1587.0
24039,595,141.0
24041,342,301.0
24043,3395,1673.0
24045,1747,832.0
24047,379,159.0
24510,34737,16573.0
25001,3579,2377.0
25003,3715,1943.0
25005,14618,6664.0
25007,143,18.0
25009,20447,11365.0
25011,1609,1007.0
25013,20205,10526.0
25015,2240,1444.0
25017,33914,19709.0
25019,8,
25021,14794,11212.0
25023,9400,5147.0
25025,53594,20888.0
25027,16886,7811.0
26001,38,14.0
26003,121,32.0
26005,697,398.0
26007,514,102.0
26009,52,32.0
26011,69,13.0
26013,121,37.0
26015,184,59.0
26017,1854,447.0
26019,75,37.0
26021,3055,877.0
26023,293,62.0
26025,2130,1271.0
26027,429,69.0
26029,268,89.0
26031,257,155.0
26033,615,154.0
26035,306,85.0
26037,386,198.0
26039,138,38.0
26041,737,167.0
26043,332,120.0
26045,1027,462.0
26047,232,79.0
26049,6328,2338.0
26051,286,47.0
26053,356,57.0
26055,742,564.0
26057,655,268.0
26059,478,59.0
26061,701,169.0
26063,271,46.0
26065,6253,3397.0
26067,772,161.0
26069,253,120.0
26071,387,280.0
26073,673,284.0
26075,2578,966.0
26077,4184,1269.0
26079,99,21.0
26081,11547,7547.0
26083,2,2.0
26085,251,142.0
26087,828,541.0
26089,28,7.0
26091,571,194.0
26093,418,360.0
26095,152,112.0
26097,69,21.0
26099,9446,3590.0
26101,266,52.0
26103,1243,319.0
26105,327,82.0
26107,596,196.0
26109,513,144.0
26111,906,375.0
26113,34,34.0
26115,1706,640.0
26117,667,342.0
26119,57,21.0
26121,2580,1190.0
26123,223,107.0
26125,11942,5032.0
26127,142,63.0
26129,113,61.0
26131,103,7.0
26133,298,88.0
26135,75,15.0
26137,262,166.0
26139,1131,538.0
26141,200,5.0
26143,158,125.0
26145,4100,2040.0
26147,2388,1102.0
26149,575,34.0
26151,249,74.0
26153,223,99.0
26155,433,105.0
26157,193,92.0
26159,503,118.0
26161,6377,3859.0
26163,44813,21863.0
26165,571,156.0
27001,234,17.0
27003,2878,1699.0
27005,548,248.0
27007,692,279.0
27009,550,130.0
27011,106,37.0
27013,1339,693.0
27015,476,203.0
